저자명,발행년도,제목,학회지,논문/단행본
홍종림,1984,"제주도 방언의 선어말어미 ""-느-""에 대한 시고",논문집,논문
홍종림,1987,제주방언의 아스펙트 형태에 대하여,국어국문학,논문
홍종림,1991,제주방언의 양태와 상범주 연구,성균관대 박사학위논문,단행본
홍종림,1994,제주방언의 평서법어미에 대한 고찰(1),선청어문,논문
홍종림,1995,제주방언의 상대존대형태에 대하여-사라진 '-ᄋᆞ/으ᅌᅵ-'의 자취를 찾아서,,논문
강남국,2000,제주 방언의 명령 화행 연구,제주대 석사학위논문,단행본
강인자,2004,제주 방언 조사 '-광'에 관한 연구,제주대 석사학위논문,단행본
강정희,2001,제주방언의 '-아/-어지다' 구문연구,한남어문학,논문
강정희,2002,"제주방언 공간 명사의 문법화 현상-부사 ㅎ 끔, ㅎ 썰, 고쌔의 형성과정을 중심으로",한국언어문학,논문
강정희,2004,제주방언의 시간 표현 구조 - '글지후제'의 형태변화 과정에 대해서-' ,어문연구,논문
강정희,2006,제주방언의 인식양태 표현-형용사 구문의 부사어 '잘도'를 중심으로-,한국언어문학,논문
강정희,2008,제주방언 동명사 구문의 문법화 연구,어문연구,논문
강정희,2009,제주방언 혼성형에 대한 생태학적 고찰,방언학,논문
강정희,2009,제주방언의 보조동사 '-불다'에 관한 형태론적 연구,한국언어문학,논문
고영진,2002,제주도 방언의 상대높임법의 형태론,한글,논문
고영진,2003,제주도 방언의 의문법의 형태론-이른바 'ᄒᆞ라체'를 중심으로-,한글,논문
고영진,2007,제주도 방언의 형용사에 나타나는 두 가지 [현재 시제]에 대하여,한글,논문
고창근,2001,"제주도 방언 '나다', '지다'에 대하여",백록어문,논문
고창근,2002,제주도 방언 보조용언 '-어 불다'에 대하여,영주어문,논문
김지홍,2001,제주 방언 대우법 연구의 몇 가지 문제,백록어문,논문
문갑순,2006,제주 방언 부사 연구,제주대학교 석사학위논문,단행본
문숙영,2004,제주 방언의 현재시제 형태소에 대하여,형태론,논문
문숙영,2006,제주방언의 '-엄시-'의 범주와 관련된 몇 문제,형태론,논문
문순덕,2000,제주도 방언 '시다'의 문법화 현상,영주어문,논문
문순덕,2000,제주방언 보조용언의 통사.의미,언어학연구,논문
문순덕,2000,제주방언의 제문제: 제주 방언의 보조용언 연구,탐라문화,논문
문순덕,2001,"제주 방언 '-(고정)다', '-고프다'와 '싶다'",인문학연구,논문
문순덕,2001,제주 방언 이중 부정문의 통사 구조에 대하여,영주어문,논문
문순덕,2002,제주 방언 보조조사의 담화 기능,영주어문,논문
문순덕,2003,제주방언 반말체 첨사의 담화기능,영주어문,논문
문순덕,2005,제주 방언의 간투 표현,한글,논문
문순덕,2005,"제주방언 높임말 첨사의 담화 기능 - '마씀, 양, 예'를 중심으로",언어연구,논문
문순덕,2006,제주방언 '불다'의 문법화 과정,영주어문,논문
양용준,2003,제주 방언에서 화행과 함축의 특성,언어과학연구,논문
우창현,2002,제주 방언 '-암시-'와 중앙어 '-고 있-'과의 상관성-제주 방언 '-암시-'를 중심으로 ,시학과 언어학,논문
우창현,2003,제주 방언의 반복상,어문연구,논문
우창현,2003,상 해석의 이론과 실제:제주방언을 중심으로,한국문화사,단행본
우창현,2004,제주 방언 보조 용언의 문법화에 대하여-'-어 두-'와 '-어 불-'을 중심으로,언어학,논문
우창현,2005,제주 방언의 '-느-'에 대하여-'-느-'와 '-ㄴ-'의 상관성을 중심으로-,형태론,논문
우창현,2005,제주방언 보조용언의 문법적 특성,방언학,논문
우창현,2007,제주방언 보조용언의 문법 범주와 의미 해석-AM(Aspect-Modality) 범주 설정을 중심으로-,어문학,논문
우창현,2008,방언 문법 형태 연구 방법-제주방언 선어말어미 '-크-'를 중심으로-,방언학,논문
우창현,2008,"제주방언 선어말어미 의미 해석 문제 - '-암시-', '-아시-'를 중심으로",민족문화논총,논문
이기석,2004,"제주방언의 등위접속사 ""광""의 분석",언어학연구,논문
이효상,2006,제주 방언의 '-엄시-'에 대하여: 상표지인가 시제표지인가?,형태론,논문
한동완,2002,제주방언 청자 경어법의 형태 원리,어문연구,논문
홍종림,2001,"제주방언 연결어미의 '-n', '-n'에 대하여",국어학,논문
강정희,2012,문법화로 본 제주방언의 가능 표현 연구-'-어지다' 구문을 중심으로-,방언학,논문
강정희,2015,제주방언 종결어미 '-게'의 양태성에 대하여,영주어문,논문
고맹훈,2018,제주 방언의 상대높임법에 대한 고찰-상대 높임법 형태와 등급체계를 중심으로,제주대 석사학위논문,단행본
고영근,2019,제주어의 시상법에 대하여-특히 서사 시상법과 관련하여-,구결연구,논문
고영진,2019,제주도 방언의 상대높임과 '-느-' -'-수다'와 '-읍네다'는 어떻게 다른가,방언학,논문
김공칠,2011,제주방언통사론:비교통사론,백산,단행본
김미진,2016,제주도 방언의 접속부사 연구,동남어문논집,논문
김미진,2016,제주도 방언의 확인의문문 연구,어문논집,논문
김미진,2018,제주도 방언의 담화표지에 대한 사회언어학적 연구,방언학,논문
김미진,2019,제주 방언의 인용 표지 연구,영주어문,논문
김보향,2017,제주방언 문법 형태의 세대별 변화 연구,한국언어문학,논문
김보향,2019,제주방언의 피동 연구-'-어지다'를 중심으로-,한국언어문학,논문
김지홍,2014,제주 방언의 통사 기술과 설명:기본구문의 기능범주 분석,경진출판,단행본
김지홍,2016,제주 방언의 선어말어미와 종결어미 체계,한글,논문
김지홍,2019,제주 방언의 인용 구문과 매개변항,한글,논문
문순덕,2011,제주 구비문학에 나타난 제주방언의 문법 연구,영주어문,논문
"문순덕, 김원보",2012,제주방언 담화표지 '계메' 연구,언어학연구,논문
"문순덕, 김원보",2013,제주방언 '처레'와 '셍'의 담화의미,언어학연구,논문
